population,commit_sha,commit_time_utc,file,subject
exported commit-touch records; not deploy boundaries,c5bd9de3219609b11c6e9452904fae7dfd1a21ca,2026-09-03T10:25:25Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 4 round 1 (Langston 06:20Z): BLOCKER-1 fixed; three conditions folded; FINDING-1 stated and escalated as a question
exported commit-touch records; not deploy boundaries,e1ae134a8458171b686a1aa274d2b2a566222b6e,2026-09-03T10:04:17Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 3 (second increment): P9 the both-sides entry gate + P7(ii) the coupled re-entry relaxation; on Kyle's option-(D) ruling
exported commit-touch records; not deploy boundaries,87f0d39bd2f8c6f4f2074da95e3e71887c5356f0,2026-09-03T05:11:56Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 4 BLOCKER-3 (Langston 01:08Z): the basis describes exit_book_state alone; the re-cut fences on a NULL basis
exported commit-touch records; not deploy boundaries,2ee14d69028c67c6ce9aabe30a4e258a38dade99,2026-09-03T05:02:51Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 4 fixes (Langston SEND BACK 00:57Z): two blockers + three conditions folded
exported commit-touch records; not deploy boundaries,3b2c4966c9c9e84c659b1f96d67b2d4dc2943226,2026-09-03T04:47:01Z,server/services/active-execution-engine.ts,B-XSTOCK-FEED-SANITY Step 3: the book-state guard on the xStock exit path (#943; closes #567) — build only; DEPLOY HELD to 2026-09-07
exported commit-touch records; not deploy boundaries,f2cc6ee29a672e7444e4b77bedf5d31470cd60e5,2026-09-02T13:22:20Z,server/services/active-execution-engine.ts,F-G-2 Step 8 conditions (Langston): per-arm witness fields never overwritten; OBJ-0 denominator measured (shadowEntered / shadowSkippedNoBook + a once-per-row fg2ShadowSkip stamp)
exported commit-touch records; not deploy boundaries,f36c8f4968b0ee630323c1df24b51e694460d2a8,2026-09-02T13:02:38Z,server/services/active-execution-engine.ts,F-G-2 Step 7 rider (Langston): the shadow arm fetches the ticker witness ONLY on an exit event; the seed-only cycle stamps seededFrom alone
exported commit-touch records; not deploy boundaries,76c65266ee85d4f29d55d19852e28068d627eb3d,2026-09-02T12:37:34Z,server/services/active-execution-engine.ts,F-G-2 Step 4 condition (Langston FINDING-2): the shadow arm stamps seededFrom cold
exported commit-touch records; not deploy boundaries,d3e64303227982bacd61e816977067392a8e4f28,2026-09-02T12:09:05Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-2 Step 3: OBJ-0 shadow arm (crypto bid vs live mid); OBJ-5a/5b/5c — VTS books realistic exits and honest maker fees; one vts epoch bump
exported commit-touch records; not deploy boundaries,d3e64303227982bacd61e816977067392a8e4f28,2026-09-02T12:09:05Z,server/services/active-execution-engine.ts,F-G-2 Step 3: OBJ-0 shadow arm (crypto bid vs live mid); OBJ-5a/5b/5c — VTS books realistic exits and honest maker fees; one vts epoch bump
exported commit-touch records; not deploy boundaries,d3e64303227982bacd61e816977067392a8e4f28,2026-09-02T12:09:05Z,server/services/vts-runner.ts,F-G-2 Step 3: OBJ-0 shadow arm (crypto bid vs live mid); OBJ-5a/5b/5c — VTS books realistic exits and honest maker fees; one vts epoch bump
exported commit-touch records; not deploy boundaries,104fa755bf28b852c7c648081aa32a9683424d9f,2026-08-30T15:59:27Z,server/services/active-execution-engine.ts,Step 4 APPROVED - both comment-only conditions applied; and condition 1 was my class again
exported commit-touch records; not deploy boundaries,1770137e0cd03e8237dcde19ce48b73d4fe688fa,2026-08-30T15:45:59Z,server/services/active-execution-engine.ts,Step 3 follow-up: a reader found the instrument perturbing its own measurement; and my NULL discriminator separating two states of four
exported commit-touch records; not deploy boundaries,279f4c2c6e5ce20dfe713031dd57df83a2738059,2026-08-30T15:26:20Z,server/services/active-execution-engine.ts,Step 3 - B-EXIT-BOOK-AGE-STAMP implemented. No behaviour change; two facts now recorded.
exported commit-touch records; not deploy boundaries,f280e9c6be02540d22d1bc09a5f7fc1c0316a529,2026-08-28T19:20:39Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-1 r8: the one-home rule made ENFORCED; and a claim of mine that was not supported
exported commit-touch records; not deploy boundaries,f280e9c6be02540d22d1bc09a5f7fc1c0316a529,2026-08-28T19:20:39Z,server/services/vts-runner.ts,F-G-1 r8: the one-home rule made ENFORCED; and a claim of mine that was not supported
exported commit-touch records; not deploy boundaries,2245ab15e855187bc33ce4a9914607c58339b5bd,2026-08-28T18:39:53Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-1 r5: BLOCKER-10's five-step chain; BLOCKER-11's latch; and a race my own fix introduced
exported commit-touch records; not deploy boundaries,773e1a21fc9de4e175885bc377ed58d8d0e70ded,2026-08-28T17:03:18Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-1 Step 3 (2/n): eleven defects from Langston's BLOCKER-6 and two fresh-context readers
exported commit-touch records; not deploy boundaries,773e1a21fc9de4e175885bc377ed58d8d0e70ded,2026-08-28T17:03:18Z,server/services/vts-runner.ts,F-G-1 Step 3 (2/n): eleven defects from Langston's BLOCKER-6 and two fresh-context readers
exported commit-touch records; not deploy boundaries,68c7a72dbb1671f0383bda667f93cece3086508a,2026-08-28T14:53:54Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-1: three independent readers found six real defects in my implementation. All six fixed
exported commit-touch records; not deploy boundaries,87f321ff920ffd12bbcc6fdd2a849c6b5a937ba6,2026-08-28T14:10:01Z,server/services/active-execution-engine.ts,F-G-1: both of Langston's blockers fixed; and the July service is now THE VOG
exported commit-touch records; not deploy boundaries,0a176ad2a4005cc8b61b2dd9154ff7f17f9fc6bb,2026-08-28T14:01:18Z,server/services/vts-runner.ts,F-G-1: VTS grid tags are COUNTED down a path that reaches the tab -- and a fixed list would have eaten them
exported commit-touch records; not deploy boundaries,3ce77a91df050c8c33066ad94d6c8ad95bba8554,2026-08-28T13:43:21Z,server/services/active-execution-engine.ts,F-G-1: the VPG now FEEDS the July validate leg -- Kyle's architecture point; and it found two gaps
exported commit-touch records; not deploy boundaries,6c6a009ee1028009f9a178c85202b77b134bec6d,2026-08-28T11:38:33Z,server/asset_classes/xstock_spot/eval-cycle.ts,F-G-1: the VTS lanes tag the grid -- and Langston's blocker killed my insertion point first
exported commit-touch records; not deploy boundaries,6c6a009ee1028009f9a178c85202b77b134bec6d,2026-08-28T11:38:33Z,server/services/vts-runner.ts,F-G-1: the VTS lanes tag the grid -- and Langston's blocker killed my insertion point first
exported commit-touch records; not deploy boundaries,ed86a758e69136434aad98d777d184dfebec3a62,2026-08-27T13:59:17Z,server/services/active-execution-engine.ts,B-EXIT-PROVENANCE #911: the independent witness is wired; and it is a READ not a build
exported commit-touch records; not deploy boundaries,d080e1339d979b824bc00c05e91fb5ba3f613a8c,2026-08-26T22:32:59Z,server/services/active-execution-engine.ts,B-EXIT-PROVENANCE: staging caught an entry path my own audit-derived plan dropped
exported commit-touch records; not deploy boundaries,f086fae15fb5daa90a4d693b75abad0e919b8391,2026-08-26T22:03:22Z,server/services/active-execution-engine.ts,B-EXIT-PROVENANCE Step-4: both blockers + all three riders; and the OBJ-3 gate is filed
exported commit-touch records; not deploy boundaries,68930cd350d6230945553e425cd4060b986905b9,2026-08-26T21:51:19Z,server/services/active-execution-engine.ts,B-EXIT-PROVENANCE Step-3: the stamp ships; and the fence caught a real one before Langston did
